id;curso;sigla;ano
1;Kwanza;copy system payment;Camiseta
2;Lanka;Integrated Dollar upward-trending;Sudanese
3;Solomon upward-trending;Pequeno Livros deposit;Jóias
4;projection deposit;parsing;Feito Leone IB
5;de monitor implementation;generating;transition
6;AGP Peso;bypassing scalable Mercearia;didactic Fresco
7;copying Cordoba;cutting-edge De-engineered Tala;New
8;functionalities Licenciado Marketing;Checking time-frame;Montenegro monitor
9;Esportes Account Savings;Rua payment;Reactive
10;invoice;Inteligente;Avon Bedfordshire do
